days,Bread,Eggs,Potatoes,Total Revenue
1,12,5,1,150
2,6,2,2,50
3,8,3,4,75
4,6,2,1,70
5,4,1,1,39
6,5,2,1,47
7,3,1,4,29
8,5,3,3,51
9,9,4,3,100
10,3,1,1,31
11,9,5,2,110
12,10,7,1,120
13,6,3,0,71
14,8,4,5,78
15,6,3,4,56
16,4,1,1,40
17,5,2,3,49
18,3,1,4,41
19,5,3,5,49
20,9,4,6,105
21,3,1,1,29
22,9,4,1,89
23,10,6,1,101
24,6,3,1,71
25,6,4,1,72
26,5,3,1,59
27,7,4,2,69
28,4,1,4,40
29,8,3,1,90
30,5,2,1,65
31,6,3,1,64
32,4,2,4,39
33,3,1,3,32
34,9,4,3,100
35,7,3,1,75
36,10,5,2,105
37,12,6,1,136
38,4,1,0,50
39,6,2,5,59
40,18,8,4,200
41,3,1,1,30
42,8,2,3,79
43,8,2,4,69
44,6,2,5,61
45,4,1,6,39
46,9,4,1,100
47,12,7,1,150
48,10,7,1,120
49,1,1,2,26
50,11,4,4,160
51,5,1,1,59
52,6,3,1,69
53,7,4,1,79
54,6,2,4,65
55,8,4,3,85
56,6,3,3,65
57,4,1,1,49
58,5,2,2,50
59,3,1,1,39
60,5,3,0,61
61,9,4,5,102
62,3,1,4,40
63,9,5,1,100
64,10,7,3,120
65,6,3,4,70
66,8,4,5,89
67,6,2,6,67
68,4,1,1,50
69,5,2,1,49
70,3,1,2,45
71,5,1,3,50
72,9,3,1,99
73,3,1,2,45
74,9,3,4,100
75,5,2,3,61
